	0
attic	1
laundry	2
list	3
so_normal	4
unguarded_exit	5
not	6
If_you_'re_wondering	7
vault	8
garage	9
room	10
because_not	11
pantry	12
here_studio	13
we	14
unblocked	15
you_'ve_just_walked_into_washroom	16
because_you_'ve_walked_into_washroom	17
complete_list	18
everything	19
you_'ve_walked	20
lounge	21
here_shower	22
place	23
because_you_'ve_just_walked	24
You	25
cookhouse	26
going_west	27
here_cookhouse	28
shower	29
you_'ve_walked_into_washroom	30
normal	31
unguarded	32
list_of_everything	33
spare_room	34
restroom	35
dish_pit	36
going_south	37
now_lounge	38
kind	39
office	40
unblocked_exit	41
chamber	42
because_you_'ve_walked	43
going	44
you	45
it	46
entranceway	47
great_normal_vibes	48
laundry_place	49
you_'re_wondering	50
yourself	51
washroom	52
now_restroom	53
great	54
exit	55
studio	56
because_you_'ve_just_walked_into_washroom	57
going_north	58
complete_list_of_everything	59
you_'ve_just_walked	60
exit_to_north	61
exit_to_south	62
exit_to_east	63
exit_to_west	64
north	65
south	66
east	67
west	68
coin	69
